,NAME,type
167,unnamed protein product [Taenia asiatica],Taenia asiatica
168,unnamed protein product [Taenia asiatica],Taenia asiatica
169,unnamed protein product [Taenia asiatica],Taenia asiatica
170,unnamed protein product [Taenia asiatica],Taenia asiatica
171,Ndr [Echinococcus multilocularis],Echinococcus multilocularis
172,unnamed protein product [Taenia asiatica],Taenia asiatica
173,unnamed protein product [Taenia asiatica],Taenia asiatica
174,unnamed protein product [Taenia asiatica],Taenia asiatica
175,unnamed protein product [Taenia asiatica],Taenia asiatica
176,unnamed protein product [Taenia asiatica],Taenia asiatica
177,Lysosomal acid lipase/cholesteryl ester hydrolase [Echinococcus granulosus],Echinococcus granulosus
178,unnamed protein product [Taenia asiatica],Taenia asiatica
179,unnamed protein product [Taenia asiatica],Taenia asiatica
180,unnamed protein product [Taenia asiatica],Taenia asiatica
181,unnamed protein product [Taenia asiatica],Taenia asiatica
182,unnamed protein product [Taenia asiatica],Taenia asiatica
183,unnamed protein product [Taenia asiatica],Taenia asiatica
184,unnamed protein product [Taenia asiatica],Taenia asiatica
185,unnamed protein product [Taenia asiatica],Taenia asiatica
186,unnamed protein product [Taenia asiatica],Taenia asiatica
187,Threonine aspartase [Echinococcus granulosus],Echinococcus granulosus
188,unnamed protein product [Taenia asiatica],Taenia asiatica
189,Cytosolic carboxypeptidase 2 [Echinococcus granulosus],Echinococcus granulosus
190,unnamed protein product [Taenia asiatica],Taenia asiatica
191,RNA directed DNA polymerase reverse transcriptase [Echinococcus multilocularis],Echinococcus multilocularis
192,unnamed protein product [Taenia asiatica],Taenia asiatica
193,unnamed protein product [Taenia asiatica],Taenia asiatica
194,unnamed protein product [Taenia asiatica],Taenia asiatica
195,unnamed protein product [Taenia asiatica],Taenia asiatica
196,lon protease mitochondrial [Echinococcus granulosus],Echinococcus granulosus
197,unnamed protein product [Taenia asiatica],Taenia asiatica
198,unnamed protein product [Taenia asiatica],Taenia asiatica
199,unnamed protein product [Taenia asiatica],Taenia asiatica
200,cathepsin L cysteine proteinase [Echinococcus granulosus],Echinococcus granulosus
201,unnamed protein product [Taenia asiatica],Taenia asiatica
202,insulin degrading enzyme [Echinococcus granulosus],Echinococcus granulosus
203,unnamed protein product [Taenia asiatica],Taenia asiatica
204,unnamed protein product [Taenia asiatica],Taenia asiatica
205,unnamed protein product [Taenia asiatica],Taenia asiatica
206,Transposon Ty3-I Gag-Pol polyprotein [Echinococcus granulosus],Echinococcus granulosus
207,"hypothetical protein, conserved [Eimeria acervulina]",Eimeria acervulina
208,unnamed protein product [Taenia asiatica],Taenia asiatica
209,unnamed protein product [Taenia asiatica],Taenia asiatica
210,unnamed protein product [Taenia asiatica],Taenia asiatica
211,unnamed protein product [Taenia asiatica],Taenia asiatica
212,Putative aminopeptidase W07G4.4 [Echinococcus granulosus],Echinococcus granulosus
213,unnamed protein product [Taenia asiatica],Taenia asiatica
214,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
215,Putative ATP-dependent Clp protease proteolytic subunit [Echinococcus granulosus],Echinococcus granulosus
216,unnamed protein product [Taenia asiatica],Taenia asiatica
217,unnamed protein product [Taenia asiatica],Taenia asiatica
218,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
219,"unnamed protein product, partial [Taenia asiatica]",Taenia asiatica
220,dipeptidyl aminopeptidaseprotein [Echinococcus multilocularis],Echinococcus multilocularis
221,unnamed protein product [Taenia asiatica],Taenia asiatica
222,unnamed protein product [Taenia asiatica],Taenia asiatica
223,unnamed protein product [Taenia asiatica],Taenia asiatica
224,unnamed protein product [Taenia asiatica],Taenia asiatica
225,unnamed protein product [Taenia asiatica],Taenia asiatica
226,CAAX prenyl protease 2 [Echinococcus granulosus],Echinococcus granulosus
227,unnamed protein product [Taenia asiatica],Taenia asiatica
228,unnamed protein product [Taenia asiatica],Taenia asiatica
229,unnamed protein product [Taenia asiatica],Taenia asiatica
230,unnamed protein product [Rodentolepis nana],Rodentolepis nana
231,insulin degrading enzyme [Echinococcus granulosus],Echinococcus granulosus
232,unnamed protein product [Taenia asiatica],Taenia asiatica
233,unnamed protein product [Taenia asiatica],Taenia asiatica
234,unnamed protein product [Taenia asiatica],Taenia asiatica
235,Transposon Ty3-I Gag-Pol polyprotein [Echinococcus granulosus],Echinococcus granulosus
236,"hypothetical protein, conserved [Eimeria acervulina]",Eimeria acervulina
237,unnamed protein product [Taenia asiatica],Taenia asiatica
238,unnamed protein product [Taenia asiatica],Taenia asiatica
239,unnamed protein product [Taenia asiatica],Taenia asiatica
240,unnamed protein product [Taenia asiatica],Taenia asiatica
241,Putative aminopeptidase W07G4.4 [Echinococcus granulosus],Echinococcus granulosus
242,unnamed protein product [Taenia asiatica],Taenia asiatica
243,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
244,Putative ATP-dependent Clp protease proteolytic subunit [Echinococcus granulosus],Echinococcus granulosus
245,unnamed protein product [Taenia asiatica],Taenia asiatica
246,unnamed protein product [Taenia asiatica],Taenia asiatica
247,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
248,"unnamed protein product, partial [Taenia asiatica]",Taenia asiatica
249,dipeptidyl aminopeptidaseprotein [Echinococcus multilocularis],Echinococcus multilocularis
250,unnamed protein product [Taenia asiatica],Taenia asiatica
251,unnamed protein product [Taenia asiatica],Taenia asiatica
252,unnamed protein product [Taenia asiatica],Taenia asiatica
253,unnamed protein product [Taenia asiatica],Taenia asiatica
254,unnamed protein product [Taenia asiatica],Taenia asiatica
255,CAAX prenyl protease 2 [Echinococcus granulosus],Echinococcus granulosus
256,unnamed protein product [Taenia asiatica],Taenia asiatica
257,unnamed protein product [Taenia asiatica],Taenia asiatica
258,unnamed protein product [Taenia asiatica],Taenia asiatica
259,unnamed protein product [Rodentolepis nana],Rodentolepis nana
260,unnamed protein product [Rodentolepis nana],Rodentolepis nana
261,unnamed protein product [Taenia asiatica],Taenia asiatica
